点位编号,名称,类别,OSM编号,位置,经度,纬度,x_m,y_m
ST137,青平,村庄,11118958455,乡外,109.1379333,23.2005158,-9525.632741895692,21263.570263920792
ST138,欧阳,村庄,11634880138,乡外,109.1859961,23.1577319,-4598.421539947067,16525.50456600075
ST139,良四,村庄,11634880183,乡外,109.170186,23.1476777,-6219.211461131709,15412.060954267363
ST140,果问,村庄,11634880266,乡外,109.2072017,23.1293571,-2424.5059573331164,13383.162082838857
ST141,良元,村庄,11634880968,乡外,109.1876082,23.1247911,-4433.1553220264495,12877.504394392843
ST142,新果莪,村庄,11634881068,乡外,109.1821723,23.1166509,-4990.422634223177,11976.025043650918
ST143,干江,村庄,11634881104,乡内,109.2054913,23.1014131,-2599.849508682187,10288.528170019192
ST144,果招,村庄,11634881128,乡外,109.176236,23.1128317,-5598.989006930113,11553.071069995158
ST145,大站,村庄,11634881512,乡内,109.2191546,23.0776627,-1199.141168436887,7658.310832378918
ST146,古麻,村庄,11634881632,乡内,109.2019376,23.0742455,-2964.1610021537394,7279.875998178712
ST147,竹瓦,村庄,11634881796,乡外,109.1738636,23.0938857,-5842.1982218634375,9454.912820915672
ST148,那麓,村庄,11634881841,乡内,109.2201329,23.063406,-1098.8496598509107,6079.465022727622
ST149,古律,村庄,11634881882,乡内,109.2097858,23.058543,-2159.5940823072915,5540.916328265767
ST150,那托,村庄,11634882054,乡内,109.1894467,23.0497624,-4244.679457224384,4568.516437952733
ST151,六造,村庄,11634882329,乡内,109.168918,23.0409654,-6349.201886243268,3594.3003439409217
ST152,都长,村庄,11634882330,乡内,109.166781,23.0365922,-6568.2788093228255,3109.9941233732943
ST153,那旭,村庄,11634882331,乡内,109.1728034,23.036716,-5950.885799705243,3123.7042464193323
ST154,佛子,村庄,11634882332,乡内,109.1790201,23.0275429,-5313.573910278572,2107.837285866841
ST155,银坑,村庄,11634882384,乡内,109.1915989,23.0358083,-4024.044289301942,3023.181801434242
ST156,那桑,村庄,11634882385,乡内,109.1931438,23.0294971,-3865.667153848206,2324.2534608035808
ST157,六规,村庄,11634882436,乡内,109.1974591,23.0424149,-3423.2793924240027,3754.8239574762356
ST158,那从,村庄,11634882604,乡内,109.2189672,23.0312847,-1218.3526871010647,2522.2196640155935
ST159,平旺,村庄,11634882605,乡内,109.2293012,23.0248391,-158.95122566015937,1808.4073125817577
ST160,那龙,村庄,11634882606,乡内,109.2368288,23.0398887,612.7490299180869,3475.062141323553
ST161,上良,村庄,11634882607,乡内,109.2266493,23.0561427,-430.8136928155503,5275.097197828279
ST162,三岔,村庄,11634882851,乡外,109.1395408,22.971984,-9360.838098072167,-4044.984647247631
ST163,罗管,村庄,11637200196,乡外,109.0741986,23.0765845,-16059.466138885564,7538.906513569576
ST164,横梨,村庄,11637200490,乡外,109.1475567,23.110668,-8539.079226894226,11313.454000242466
ST165,那业,村庄,11637200491,乡外,109.1345105,23.1146782,-9876.524876811038,11757.560102346244
ST166,黄兴,村庄,11637200697,乡外,109.0865984,23.1169218,-14788.286901264935,12006.025627926028
