from_id,to_id,row,col,t_enter,t_exit,terrain_m
O01,S002,733,733,0.2016047569,0.2049110757,153.533844
O01,S002,733,734,0.2049110757,0.2060982633,144.046051
O01,S002,732,734,0.2060982633,0.2105917696,142.151947
O01,S002,731,734,0.2105917696,0.2149390819,147.1408386
O01,S002,731,735,0.2149390819,0.215085276,162.3026886
O01,S002,730,735,0.215085276,0.2195787823,159.7637329
O01,S002,729,735,0.2195787823,0.2240722887,153.4480591
O01,S002,728,735,0.2240722887,0.2249670881,165.618988
O01,S002,728,736,0.2249670881,0.228565795,163.688736
O01,S002,727,736,0.228565795,0.2330593013,175.4354858
O01,S002,726,736,0.2330593013,0.2349950943,185.7433014
O01,S002,726,737,0.2349950943,0.2375528077,182.4082184
O01,S002,725,737,0.2375528077,0.242046314,193.2889709
O01,S002,724,737,0.242046314,0.2450231005,179.7077179
O01,S002,724,738,0.2450231005,0.2465398204,175.8703613
O01,S002,723,738,0.2465398204,0.2510333267,160.4240265
O01,S002,722,738,0.2510333267,0.2550511067,172.4994507
O01,S002,722,739,0.2550511067,0.2555268331,191.371048
O01,S002,721,739,0.2555268331,0.2600203394,195.7935028
O01,S002,720,739,0.2600203394,0.2645138458,200.9930725
O01,S002,719,739,0.2645138458,0.2650791129,192.3518982
O01,S002,719,740,0.2650791129,0.2690073521,201.1081696
O01,S002,718,740,0.2690073521,0.2735008584,183.5541077
O01,S002,717,740,0.2735008584,0.2751071192,161.443985
O01,S002,717,741,0.2751071192,0.2779943648,167.5762939
O01,S002,716,741,0.2779943648,0.2824878711,171.6109772
O01,S002,715,741,0.2824878711,0.2851351254,179.8396149
O01,S002,715,742,0.2851351254,0.2869813775,192.23909
O01,S002,714,742,0.2869813775,0.2914748838,187.513504
O01,S002,713,742,0.2914748838,0.2951631316,173.8771973
O01,S002,713,743,0.2951631316,0.2959683902,182.9650421
O01,S002,712,743,0.2959683902,0.3004618965,174.5065002
O01,S002,711,743,0.3004618965,0.3049554028,171.111145
O01,S002,710,743,0.3049554028,0.3051911378,175.3624573
O01,S002,710,744,0.3051911378,0.3094489092,173.1007538
O01,S002,709,744,0.3094489092,0.3139424155,162.5491943
O01,S002,708,744,0.3139424155,0.315219144,155.7003479
O01,S002,708,745,0.315219144,0.3184359219,155.160141
O01,S002,707,745,0.3184359219,0.3229294282,150.5155487
O01,S002,706,745,0.3229294282,0.3252471502,149.8846436
O01,S002,706,746,0.3252471502,0.3274229346,153.9247894
O01,S002,705,746,0.3274229346,0.3319164409,159.5907288
O01,S002,704,746,0.3319164409,0.3352751565,166.5621796
O01,S002,704,747,0.3352751565,0.3364099473,166.3303375
O01,S002,703,747,0.3364099473,0.3409034536,176.3518677
O01,S002,702,747,0.3409034536,0.3453031627,190.6454315
O01,S002,702,748,0.3453031627,0.3453969599,189.4615173
O01,S002,701,748,0.3453969599,0.3498904663,199.3138428
O01,S002,700,748,0.3498904663,0.3543839726,188.4108582
O01,S002,699,748,0.3543839726,0.3553311689,160.3629608
O01,S002,699,749,0.3553311689,0.358877479,172.9020538
O01,S002,698,749,0.358877479,0.3633709853,153.4386292
O01,S002,697,749,0.3633709853,0.3653591751,151.5351562
O01,S002,697,750,0.3653591751,0.3678644917,148.3597412
O01,S002,696,750,0.3678644917,0.372357998,150.4921875
O01,S002,695,750,0.372357998,0.3753871813,151.2364044
O01,S002,695,751,0.3753871813,0.3768515044,155.2986908
O01,S002,694,751,0.3768515044,0.3813450107,163.6718292
O01,S002,693,751,0.3813450107,0.3854151875,165.4760132
